Column 5,Column 6
kawashiro_nitori,touhou
himekaidou_hatate,touhou
inubashiri_momiji,touhou
kirisame_marisa,touhou
elly,touhou_(pc-98)
murasa_minamitsu,touhou
chitanda_eru,hyouka
patchouli_knowledge,touhou
super_sonico,nitroplus
futatsuiwa_mamizou,touhou
ibuki_suika,touhou
sendai_hakurei_no_miko,touhou
nazrin,touhou
niyah,xenoblade_2
princess_zelda,the_legend_of_zelda:_a_link_between_worlds
satonaka_chie,persona_4
leon_(fire_emblem_if),fire_emblem_if
takumi_(fire_emblem_if),fire_emblem_if
zero_(fire_emblem_if),fire_emblem_if
shigure_(fire_emblem_if),fire_emblem_if
joker_(fire_emblem_if),fire_emblem_if
sakura_(fire_emblem_if),fire_emblem_if
oboro_(fire_emblem_if),fire_emblem_if
felicia_(fire_emblem_if),fire_emblem_if
dyute_(fire_emblem),fire_emblem_echoes:_mou_hitori_no_eiyuuou
kazahana_(fire_emblem_if),fire_emblem_if
tsushima_yoshiko,love_live!_sunshine!!
elhaym_van_houten,xenogears
paola,fire_emblem:_monshou_no_nazo
gokou_ruri,ore_no_imouto_ga_konna_ni_kawaii_wake_ga_nai
ayase_yue,mahou_sensei_negima!
vivio,mahou_shoujo_lyrical_nanoha_strikers
natalia_luzu_kimlasca_lanvaldear,tales_of_the_abyss
tatsumiya_mana,mahou_sensei_negima!
zuihou_(kantai_collection),kantai_collection
mochizuki_anna,idolmaster_million_live!
fubuki_(kantai_collection),kantai_collection
tokarev_(girls_frontline),girls_frontline
bismarck_(kantai_collection),kantai_collection
touyoko_momoko,yuusha_series
mei_(pokemon),pokemon_bw2
tedeza_rize,gochuumon_wa_usagi_desu_ka?
inoue_orihime,bleach
hinatsuru_ai,ryuuou_no_oshigoto!
yuri_(angel_beats!),angel_beats!
merurulince_rede_arls,atelier_meruru
murakumo_(kantai_collection),kantai_collection
helena_k_sink,sword_girls
rose_pacifica,sword_girls
matsuno_todomatsu,osomatsu-san
matsuno_karamatsu,re:_cutie_honey
matsuno_juushimatsu,osomatsu-san
inkling,splatoon_1
akizuki_ryou,idolmaster_dearly_stars
frisk_(undertale),undertale
hashimoto_nyaa,osomatsu-san
gran_(granblue_fantasy),granblue_fantasy
komaeda_nagito,danganronpa_3
fujimaru_ritsuka_(male),fate_(series)
yowai_totoko,osomatsu-san
rosetta_(mario),super_smash_bros.
harukawa_maki,new_danganronpa_v3
chara_(undertale),undertale
serval_(kemono_friends),kemono_friends
misaka_imouto,to_aru_majutsu_no_index
yura_(kantai_collection),kantai_collection
shiranui_(kantai_collection),kantai_collection
jintsuu_(kantai_collection),kantai_collection
kagari_(pokemon),pokemon_oras
